,City1,City2,Distance (km)
1594232,280030,170200,1405.6117104261862
1594234,280030,170210,1290.6076052070284
1594236,280030,170215,1359.3799800413337
1594240,280030,170220,1349.4836121843368
1594251,280030,170230,1365.0182526824294
1594312,280030,170240,1096.754649874096
1594343,280030,170255,1335.115992092963
1594355,280030,170270,1036.0195381486433
1594364,280030,170290,1316.3164308761022
1594365,280030,170300,1243.97906272538
1594404,280030,170305,1311.07738767729
1594445,280030,170307,1217.6414593646696
1594474,280030,170310,1280.5748529649823
3062142,150140,170320,715.1761714814646
3062221,150140,170330,835.5870044976036
3062281,150140,170360,771.0016176256372
3919970,530010,170370,535.2841245204382
3062333,150140,170380,430.09937283351303
3062383,150140,170382,521.9852307432477
3062522,150140,170384,748.5329790688612
3920322,530010,170386,452.6539202674266
3062664,150140,170388,620.2424084794898
3062679,150140,170389,432.07878513293224
3920366,530010,170390,755.6902668063931
3920420,530010,170410,760.9645525107402
3920450,530010,170460,640.4389597979578
3920449,530010,170510,463.2064329694795
3062836,150140,170550,734.1372532768428
3920523,530010,170555,364.4626357655233
3920547,530010,170560,401.5759184259441
3062969,150140,170600,763.9363546189733
3920661,530010,170610,592.1302102312471
3920672,530010,170625,531.1985874317107
3063058,150140,170650,590.5165398015023
3920762,530010,170700,477.3661704016012
3920780,530010,170710,679.3482004966979
3920789,530010,170720,735.812259393581
3920838,530010,170730,514.3369448635874
3063226,150140,170740,434.86372335066835
3920950,530010,170755,568.0482361949915
3920990,530010,170765,427.33605579789224
3063317,150140,170770,663.0049083252301
3921031,530010,170820,475.34607148312716
3921037,530010,170825,750.3519996606715
3921134,530010,170830,786.5159838838268
3063461,150140,170900,707.868136324316
3921212,530010,170930,774.7235221904666
3921254,530010,170950,466.9835573213099
3921455,530010,170980,508.7977373178715
3063825,150140,171050,775.4941017055858
3063843,150140,171070,492.7974368513181
3063912,150140,171090,771.1247392308198
3063919,150140,171110,791.6074038428883
3921763,530010,171150,355.0668572430149
3064149,150140,171180,743.7414289362279
3921889,530010,171190,584.0966691415674
3921902,530010,171195,603.2238641749185
3921925,530010,171200,672.0483164171773
3921956,530010,171215,366.46205314806826
3921993,530010,171240,701.5792610407962
3064354,150140,171245,529.7747727028527
3922159,530010,171250,691.3590291141339
3922202,530010,171270,604.4929429102215
3064559,150140,171280,511.58439674522646
3922282,530010,171320,692.7821960446406
3922294,530010,171330,698.7187007234925
3922355,530010,171360,558.3667443904268
3922362,530010,171370,652.0941609174445
13431936,172100,171380,412.6215643612266
3064755,150140,171395,632.9806966769621
3922446,530010,171420,453.7946374752405
3064778,150140,171430,554.6378104572715
3064882,150140,171488,686.8116294459239
3922575,530010,171500,589.4901017202255
3922596,530010,171510,646.490015540192
3922598,530010,171515,349.83980033093127
3922613,530010,171525,461.37669210849407
3922654,530010,171550,573.8942374106323
13431933,172100,171570,270.1826473351762
3922750,530010,171575,308.33019536242904
13431974,172100,171610,58.069065361312944
13431979,172100,171620,269.45539501342887
13432049,172100,171630,320.2005251478006
13432106,172100,171650,142.5966494228362
13432120,172100,171660,199.5364331967909
13432134,172100,171665,193.74198300638295
3920512,530010,171670,789.6767697240211
13432191,172100,171700,130.9250766059437
13432243,172100,171720,385.5670316728788
13432261,172100,171750,93.7208762000096
13432311,172100,171780,289.58806350416654
13432313,172100,171790,106.73103373743095
13432342,172100,171800,208.39171007099267
13432362,172100,171820,51.76552121085324
3065531,150140,171830,444.251291859752
13432416,172100,171840,189.68357288549305
13432444,172100,171845,62.50413549718378
13432504,172100,171850,208.28781955179437
13432537,172100,171855,423.21941833318914
13432593,172100,171865,205.68408603481942
13432608,172100,171870,101.30363960752749
13432635,172100,171875,111.44832698361921
3065866,150140,171880,438.81109597410705
13432732,172100,171884,307.4373962934863
13432784,172100,171886,344.98456091575514
13432836,172100,171888,171.29636311405764
13432857,172100,171889,92.35994003598306
13432868,172100,171890,136.67122757814604
13432876,172100,171900,60.57563411732815
13432883,172100,172000,428.7732227918355
13432984,172100,172010,471.26070489469373
13433026,172100,172015,185.5919407518886
3066377,150140,172020,467.9104028621888
13433277,172100,172025,278.9419116732697
3066432,150140,172030,424.40071566924945
13433308,172100,172049,193.2930126368688
13433440,172100,172065,102.90057387017092
3066600,150140,172080,470.57903462159896
13433486,172100,172085,206.06864143614035
13433516,172100,172090,318.7293538762994
13433521,172100,172093,263.45960389925926
13433524,172100,172097,295.12593876602483
3922735,530010,172100,617.690214874112
13433641,172100,172110,75.28341821756825
13433642,172100,172120,447.33235065263244
13433722,172100,172125,142.22128560740813
13433723,172100,172130,206.79925374773774
13433941,172100,172208,379.1502940224902
13433948,172100,172210,425.8619663587658
1594237,280030,210087,1296.8137426608498
1594241,280030,210090,1039.0248850450164
1594245,280030,210095,1190.175596044918
1594265,280030,210100,1186.5284455991743
1594363,280030,210110,1183.3539952100482
1594366,280030,210120,1129.1051659024674
1594367,280030,210125,1191.4258381170796
1594368,280030,210130,1357.2568030697132
1594369,280030,210135,1243.446343041278
1594394,280030,210140,1053.4890997878679
1594411,280030,210150,801.7784021532963
1594440,280030,210160,1082.6625157842989
1594464,280030,210170,1106.5378906805277
1594499,280030,210173,1117.337746490884
1594495,280030,210177,1209.3870479059847
3062128,150140,210180,774.2205924361615
3062136,150140,210190,426.15201444823435
3062141,150140,210193,543.8285833812497
3062177,150140,210197,245.97457645854863
3062199,150140,210200,395.49320376022723
3062211,150140,210203,381.34395451992333
3062223,150140,210207,502.6178320902631
3062296,150140,210210,683.4995959071163
3062299,150140,210215,454.73264608515285
3062329,150140,210220,677.7779241229317
3062331,150140,210230,709.5964393340416
3062336,150140,210232,391.7767036805272
3062339,150140,210235,488.93502409013655
3062380,150140,210237,519.575031423634
3062421,150140,210240,452.3375593654262
3062422,150140,210250,438.62214678300154
3062470,150140,210255,539.0257873739504
3062549,150140,210260,308.33377627609553
3062571,150140,210270,516.6954077605553
3062598,150140,210275,587.8274553605505
3062675,150140,210280,663.6944451093117
3062681,150140,210290,277.3267463018956
3062733,150140,210300,683.9648526871592
3062737,150140,210310,444.4676551331209
3062749,150140,210312,415.5463601241552
3062751,150140,210315,294.3708414924722
3062752,150140,210317,273.4613780287288
3062782,150140,210320,624.4214567995396
3062803,150140,210325,421.0378632034898
3062824,150140,210330,609.8140116438063
3062825,150140,210340,683.3058224490533
3062834,150140,210350,692.6158754646449
3062868,150140,210355,480.50344521336024
3062923,150140,210360,568.999167468953
3063050,150140,210370,404.9375105428934
3063062,150140,210375,470.08147729509767
3063130,150140,210380,600.3546687428353
3063165,150140,210390,684.5189482934928
3063228,150140,210400,568.0092604556094
3063244,150140,210405,579.4343931227769
3063291,150140,210407,644.7079598754111
3063303,150140,210408,657.7461518177249
3063350,150140,210409,610.0666161666818
3063363,150140,210410,663.6809024434465
8521479,230440,210420,661.0948802930726
3063447,150140,210430,301.33507635894034
3063466,150140,210440,620.212699864968
3063471,150140,210450,613.1937875853854
3063474,150140,210455,493.55705190911993
3063475,150140,210460,637.406257508853
8521591,230440,210462,643.9858330693982
3063480,150140,210465,383.4275294258529
3063481,150140,210467,299.81493564122593
3063484,150140,210470,636.7312638872655
3063486,150140,210480,549.9624362832993
3063571,150140,210490,438.50608560720246
8521714,230440,210500,560.4972717024729
3063660,150140,210510,514.5914782049698
3063673,150140,210515,438.8377455497209
3063674,150140,210520,538.4677876935581
3063713,150140,210530,465.5425285082575
3063849,150140,210535,507.9731664045573
3063893,150140,210540,508.2011974731246
3063959,150140,210542,350.15329276680546
8522197,230440,210545,670.7971618708691
3064093,150140,210547,537.6465477086006
3064121,150140,210550,459.47873894171505
3064144,150140,210560,575.7525915532964
3064165,150140,210565,270.1216697905205
3064205,150140,210570,508.83875013467207
3064206,150140,210580,518.5566148300134
3064208,150140,210590,492.2509634745267
8522336,230440,210592,610.7790099365316
3064207,150140,210594,524.4449603345649
3064235,150140,210596,522.8896999820519
3064254,150140,210598,550.3325877119552
3064301,150140,210600,561.9045053260289
3064326,150140,210610,727.1549402422655
3064337,150140,210620,292.24899440130304
8522499,230440,210630,408.8265998499872
3064442,150140,210632,288.9569386733062
3064452,150140,210635,487.97950659380507
3064454,150140,210637,306.02484747055377
8522636,230440,210640,507.1099384317374
3064536,150140,210650,425.1039145458959
8522659,230440,210660,553.7186988021698
3064547,150140,210663,499.9989844653837
8522703,230440,210667,452.0125520160267
8522721,230440,210670,709.7142882969401
3064615,150140,210675,493.3734774659602
3064629,150140,210680,418.09850478324546
3064647,150140,210690,424.61887832545966
3064693,150140,210700,511.4644204908592
3064722,150140,210710,518.7628633682586
3064795,150140,210720,555.4483815680522
3064840,150140,210725,676.8701986067988
8522976,230440,210730,695.5465209442957
3064885,150140,210735,346.6942091421674
3064965,150140,210740,478.6184576078617
3064975,150140,210745,424.81068421674837
3065030,150140,210750,501.6858540070024
3065069,150140,210760,420.9480225839983
13431966,172100,210770,641.5501692883661
8523266,230440,210780,550.0629840569435
8523276,230440,210790,641.0259368083908
13432035,172100,210800,620.6813260150298
8523308,230440,210805,455.88890382583145
3065207,150140,210810,490.63199355908677
3065239,150140,210820,553.1755943837369
3065248,150140,210825,387.58567459162623
3065263,150140,210830,420.09921008668687
3065278,150140,210840,423.2111415128343
3065281,150140,210845,563.9224822133144
3065324,150140,210850,423.85217598319815
3065343,150140,210860,397.18096791963706
3065351,150140,210870,457.1042117172438
3065373,150140,210880,536.8338777328678
3065416,150140,210890,537.5194891788374
13432357,172100,210900,446.1632572810552
3065503,150140,210905,436.416767394274
3065546,150140,210910,615.0979329878736
3065552,150140,210920,517.1839922671212
3065558,150140,210923,314.36829140591306
3065562,150140,210927,369.9470482837818
3065564,150140,210930,541.5889625884305
8523683,230440,210940,558.3989684542661
3065634,150140,210945,499.9119487629368
13432531,172100,210950,372.7632839413555
13432551,172100,210955,490.8529672704739
3065807,150140,210960,498.642554319957
13432728,172100,210970,477.77433329208634
3065925,150140,210975,625.8856089683602
3065929,150140,210980,366.2718778888405
3065936,150140,210990,423.2395130651701
3065948,150140,211000,425.5847178061639
3065956,150140,211003,323.1977043093683
8524092,230440,211010,447.5307900819868
3065980,150140,211020,499.6950635830519
8524155,230440,211023,434.1933506254387
8524174,230440,211027,538.6065036478745
3066098,150140,211030,594.5319810646348
8524225,230440,211040,555.0345344695749
3066116,150140,211050,429.6161222455889
8524238,230440,211060,431.9559456633082
13433011,172100,211065,557.6701999205914
3066151,150140,211070,646.6693079042578
13433021,172100,211080,525.152461417154
3066178,150140,211085,426.0301326155826
8524295,230440,211090,555.7850100501889
3066212,150140,211100,443.0261111195897
3066239,150140,211102,340.7730326055712
13433112,172100,211105,444.23271435774427
8524368,230440,211107,604.8166451832845
8524372,230440,211110,649.63968811927
3066289,150140,211120,507.04062224369983
3066324,150140,211125,590.2950258567266
3066339,150140,211130,482.80836851934276
15221249,211130,211140,209.69178837703916
15221262,211130,211150,167.9434588484635
3066388,150140,211153,403.6182072113261
13433266,172100,211157,429.53726470026726
13433269,172100,211160,477.40353521500333
15221312,211130,211163,299.0041456162025
15221314,211130,211167,287.5192155281969
15221359,211130,211170,76.14899125407317
15221378,211130,211172,199.09528757668036
15221397,211130,211174,302.6548951866141
3066502,150140,211176,463.10169262475296
15221450,211130,211178,120.41713759303342
15221503,211130,211180,457.9884080327367
15221529,211130,211190,438.18415435692
15221530,211130,211195,437.991111672782
13433574,172100,211200,346.9987848020178
15444713,221100,211210,155.83575897464743
15444717,221100,211220,3.3292614339127704
15444779,221100,211223,211.3443911842143
15221746,211130,211227,195.19501218004268
15444794,221100,211230,204.6781204642454
15221766,211130,211240,156.32654934318302
15221767,211130,211245,119.05625862777275
15221778,211130,211250,224.30014785670033
15221825,211130,211260,124.03419471472169
15221870,211130,211270,118.1242528017538
15221921,211130,211280,108.05029669919529
3067040,150140,211285,417.02329708307144
15221973,211130,211290,120.28775457964339
15221976,211130,211300,221.61104377763488
15222002,211130,211400,172.78780048763204
1594307,280030,220090,743.8868451916547
1594309,280030,220095,637.3748409863133
1594310,280030,220100,765.4394813453764
1594333,280030,220105,710.8400897996626
1594361,280030,220110,757.9859272764378
1594379,280030,220115,956.6873292286137
1594428,280030,220117,738.9961254973545
1594459,280030,220120,938.2845797014675
1594462,280030,220130,925.3020773558981
1594471,280030,220140,824.2956589062372
